"District","FIPS","Year","High Needs Status","Variable","Measure Type","Value"
"Andover School District","","2013-2014","High Needs","Other Rate","Percent","-6666"
"Andover School District","","2013-2014","Non-High Needs","Other Rate","Percent","-6666"
"Andover School District","","2014-2015","High Needs","Total Cohort Count","Number","-6666"
"Andover School District","","2014-2015","Non-High Needs","Total Cohort Count","Number","-6666"
"Andover School District","","2014-2015","High Needs","Four Year Graduation Count","Number","-6666"
"Andover School District","","2014-2015","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Andover School District","","2014-2015","High Needs","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2014-2015","High Needs","Other Count","Number","-6666"
"Andover School District","","2014-2015","Non-High Needs","Other Count","Number","-6666"
"Andover School District","","2014-2015","High Needs","Other Rate","Percent","-6666"
"Andover School District","","2014-2015","Non-High Needs","Other Rate","Percent","-6666"
"Andover School District","","2015-2016","High Needs","Total Cohort Count","Number","-6666"
"Andover School District","","2015-2016","Non-High Needs","Total Cohort Count","Number","-6666"
"Andover School District","","2015-2016","High Needs","Four Year Graduation Count","Number","-6666"
"Andover School District","","2015-2016","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Andover School District","","2015-2016","High Needs","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2015-2016","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2015-2016","High Needs","Other Count","Number","-6666"
"Andover School District","","2015-2016","Non-High Needs","Other Count","Number","-6666"
"Andover School District","","2015-2016","High Needs","Other Rate","Percent","-6666"
"Andover School District","","2015-2016","Non-High Needs","Other Rate","Percent","-6666"
"Ansonia School District","900901220","2010-2011","High Needs","Total Cohort Count","Number","104"
"Ansonia School District","900901220","2010-2011","Non-High Needs","Total Cohort Count","Number","84"
"Ansonia School District","900901220","2010-2011","High Needs","Four Year Graduation Count","Number","58"
"Ansonia School District","900901220","2010-2011","Non-High Needs","Four Year Graduation Count","Number","72"
"Ansonia School District","900901220","2010-2011","High Needs","Four Year Graduation Rate","Percent","55.8"
"Ansonia School District","900901220","2010-2011","Non-High Needs","Four Year Graduation Rate","Percent","85.7"
"Ansonia School District","900901220","2010-2011","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Ansonia School District","900901220","2010-2011","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Ansonia School District","900901220","2010-2011","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Ansonia School District","900901220","2010-2011","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Ansonia School District","900901220","2010-2011","High Needs","Other Count","Number","26"
"Ansonia School District","900901220","2010-2011","Non-High Needs","Other Count","Number","9"
"Ansonia School District","900901220","2010-2011","High Needs","Other Rate","Percent","25.0"
"Ansonia School District","900901220","2010-2011","Non-High Needs","Other Rate","Percent","10.7"
"Ansonia School District","900901220","2011-2012","High Needs","Total Cohort Count","Number","142"
"Ansonia School District","900901220","2011-2012","Non-High Needs","Total Cohort Count","Number","63"
"Ansonia School District","900901220","2011-2012","High Needs","Four Year Graduation Count","Number","99"
"Ansonia School District","900901220","2011-2012","Non-High Needs","Four Year Graduation Count","Number","57"
"Ansonia School District","900901220","2011-2012","High Needs","Four Year Graduation Rate","Percent","69.7"
"Ansonia School District","900901220","2011-2012","Non-High Needs","Four Year Graduation Rate","Percent","90.5"
"Ansonia School District","900901220","2011-2012","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Ansonia School District","900901220","2011-2012","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Ansonia School District","900901220","2011-2012","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Ansonia School District","900901220","2011-2012","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Ansonia School District","900901220","2011-2012","High Needs","Other Count","Number","-9999"
"Ansonia School District","900901220","2011-2012","Non-High Needs","Other Count","Number","-9999"
"Ansonia School District","900901220","2011-2012","High Needs","Other Rate","Percent","-9999"
"Ansonia School District","900901220","2011-2012","Non-High Needs","Other Rate","Percent","-9999"
"Ansonia School District","900901220","2012-2013","High Needs","Total Cohort Count","Number","158"
"Ansonia School District","900901220","2012-2013","Non-High Needs","Total Cohort Count","Number","54"
"Ansonia School District","900901220","2012-2013","High Needs","Four Year Graduation Count","Number","110"
"Ansonia School District","900901220","2012-2013","Non-High Needs","Four Year Graduation Count","Number","50"
"Ansonia School District","900901220","2012-2013","High Needs","Four Year Graduation Rate","Percent","69.6"
"Ansonia School District","900901220","2012-2013","Non-High Needs","Four Year Graduation Rate","Percent","92.6"
"Ansonia School District","900901220","2012-2013","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Ansonia School District","900901220","2012-2013","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Ansonia School District","900901220","2012-2013","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Ansonia School District","900901220","2012-2013","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Ansonia School District","900901220","2012-2013","High Needs","Other Count","Number","-9999"
"Ansonia School District","900901220","2012-2013","Non-High Needs","Other Count","Number","-9999"
"Ansonia School District","900901220","2012-2013","High Needs","Other Rate","Percent","-9999"
"Ansonia School District","900901220","2012-2013","Non-High Needs","Other Rate","Percent","-9999"
"Ansonia School District","900901220","2013-2014","High Needs","Total Cohort Count","Number","113"
"Ansonia School District","900901220","2013-2014","Non-High Needs","Total Cohort Count","Number","44"
"Ansonia School District","900901220","2013-2014","High Needs","Four Year Graduation Count","Number","80"
"Ansonia School District","900901220","2013-2014","Non-High Needs","Four Year Graduation Count","Number","40"
"Ansonia School District","900901220","2013-2014","High Needs","Four Year Graduation Rate","Percent","70.8"
"Ansonia School District","900901220","2013-2014","Non-High Needs","Four Year Graduation Rate","Percent","90.9"
"Ansonia School District","900901220","2013-2014","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Ansonia School District","900901220","2013-2014","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Ansonia School District","900901220","2013-2014","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Ansonia School District","900901220","2013-2014","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Ansonia School District","900901220","2013-2014","High Needs","Other Count","Number","-9999"
"Ansonia School District","900901220","2013-2014","Non-High Needs","Other Count","Number","-9999"
"Ansonia School District","900901220","2013-2014","High Needs","Other Rate","Percent","-9999"
"Ansonia School District","900901220","2013-2014","Non-High Needs","Other Rate","Percent","-9999"
"Ansonia School District","900901220","2014-2015","High Needs","Total Cohort Count","Number","137"
"Ansonia School District","900901220","2014-2015","Non-High Needs","Total Cohort Count","Number","35"
"Ansonia School District","900901220","2014-2015","High Needs","Four Year Graduation Count","Number","110"
"Ansonia School District","900901220","2014-2015","Non-High Needs","Four Year Graduation Count","Number","34"
"Ansonia School District","900901220","2014-2015","High Needs","Four Year Graduation Rate","Percent","80.3"
"Ansonia School District","900901220","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","97.1"
"Ansonia School District","900901220","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Ansonia School District","900901220","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Ansonia School District","900901220","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Ansonia School District","900901220","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Ansonia School District","900901220","2014-2015","High Needs","Other Count","Number","-9999"
"Ansonia School District","900901220","2014-2015","Non-High Needs","Other Count","Number","-9999"
"Ansonia School District","900901220","2014-2015","High Needs","Other Rate","Percent","-9999"
"Ansonia School District","900901220","2014-2015","Non-High Needs","Other Rate","Percent","-9999"
"Ansonia School District","900901220","2015-2016","High Needs","Total Cohort Count","Number","96"
"Ansonia School District","900901220","2015-2016","Non-High Needs","Total Cohort Count","Number","42"
"Ansonia School District","900901220","2015-2016","High Needs","Four Year Graduation Count","Number","-9999"
